model_name,km_driven,fuel_type,transmission,owner,price,link,engine_capacity
2018 Maruti Alto K10,78.44k km,Petrol,Auto,2nd owner,₹3.03 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2018-cars-hyderabad-10491648743/,998cc
2018 Mahindra XUV500,91.27k km,Diesel,Manual,1st owner,₹10.36 lakh,https://www.cars24.com/buy-used-mahindra-xuv500-2018-cars-hyderabad-10450444781/,
2015 Nissan Micra Active,26.93k km,Petrol,Manual,2nd owner,₹2.93 lakh,https://www.cars24.com/buy-used-nissan-micra-active-2015-cars-hyderabad-10446749736/,1198cc
2015 Maruti Alto 800,58.92k km,Petrol,Manual,1st owner,₹2.16 lakh,https://www.cars24.com/buy-used-maruti-alto-800-2015-cars-hyderabad-10442748736/,796cc
2016 Hyundai Grand i10,72.07k km,Petrol,Manual,1st owner,₹4.09 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-hyderabad-10420942726/,1197cc
2022 Maruti New Wagon-R,44.10k km,Petrol,Manual,1st owner,₹5.07 lakh,https://www.cars24.com/buy-used-maruti-new-wagon-r-2022-cars-hyderabad-10495048722/,998cc
2023 Tata NEXON,70.32k km,Petrol,Manual,1st owner,₹8.39 lakh,https://www.cars24.com/buy-used-tata-nexon-2023-cars-hyderabad-10490545736/,1199cc
2020 Maruti New Wagon-R,94.57k km,Petrol,Manual,1st owner,₹4.11 lakh,https://www.cars24.com/buy-used-maruti-new-wagon-r-2020-cars-hyderabad-10470643775/,998cc
2018 Mahindra TUV300,1.3L km,Diesel,Manual,1st owner,₹6.78 lakh,https://www.cars24.com/buy-used-mahindra-tuv300-2018-cars-hyderabad-10458348723/,1493cc
2023 Maruti Alto K10,10.06k km,Petrol,Auto,1st owner,₹4.84 lakh,https://www.cars24.com/buy-used-maruti-alto-k10-2023-cars-hyderabad-10498345746/,998cc
2014 Hyundai Grand i10,52.25k km,Petrol,Manual,1st owner,₹3.59 lakh,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-hyderabad-10433241722/,1197cc
2021 Mahindra Thar,40.19k km,Petrol,Auto,1st owner,₹10.70 lakh,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-hyderabad-10402733745/,1997cc
2021 Maruti Alto,39.50k km,Petrol,Manual,1st owner,₹3.36 lakh,https://www.cars24.com/buy-used-maruti-alto-2021-cars-hyderabad-10461743728/,796cc
